#,Browser,Page,Field,isPresent,Value, Size, Location
1,Msedge,index.php,id_quotes,true,Everything has beauty, but not everyone sees it,(1264x20),(8x48)
2,Msedge,index.php,id_f_title,true,Sign Up,(151x44),(234x87)
3,Msedge,index.php,id_current_location,true,San Francisco, CA,(178x24),(830x70)
4,Msedge,index.php,id_weather_icon,true,null,(50x50),(857x95)
5,Msedge,index.php,id_temperature,true,57 ℉,(72x42),(935x100)
6,Msedge,index.php,id_f_label_fn,true,First Name,(104x24),(234x153)
7,Msedge,index.php,id_fname,true,null,(386x42),(234x181)
8,Msedge,index.php,fname_error,true,null,null,null
9,Msedge,index.php,id_f_label_ln,true,Last Name,(103x24),(659x153)
10,Msedge,index.php,id_lname,true,null,(386x42),(659x181)
11,Msedge,index.php,lname_error,true,null,null,null
12,Msedge,index.php,id_f_label_ea,true,Email Address,(136x24),(234x233)
13,Msedge,index.php,id_email,true,null,(386x42),(234x261)
14,Msedge,index.php,email_error,true,null,null,null
15,Msedge,index.php,id_f_label_pn,true,Phone Number,(143x24),(659x233)
16,Msedge,index.php,id_phone,true,null,(386x42),(659x261)
17,Msedge,index.php,phone_error,true,null,null,null
18,Msedge,index.php,id_rb_label_g,true,Gender,(71x24),(236x311)
19,Msedge,index.php,id_gender_male,true,null,(19x20),(246x357)
20,Msedge,index.php,id_rb_label_m,true,Male,(44x23),(279x356)
21,Msedge,index.php,id_gender_female,true,null,(19x20),(425x357)
22,Msedge,index.php,id_rb_label_f,true,Female,(66x23),(458x356)
23,Msedge,index.php,id_f_label_s,true,State,(50x24),(659x318)
24,Msedge,index.php,id_state,true,null,(340x35),(659x346)
25,Msedge,index.php,id_terms,true,null,(19x20),(234x424)
26,Msedge,index.php,id_cb_label_t,true,I agree to the Terms,(231x30),(264x417)
27,Msedge,index.php,ErrorLine,true,null,null,null
28,Msedge,index.php,id_link_facebook,true,null,(60x17),(234x528)
29,Msedge,index.php,id_img_facebook,true,null,(60x60),(234x482)
30,Msedge,index.php,id_link_twitter,true,null,(60x17),(299x528)
31,Msedge,index.php,id_img_twitter,true,null,(60x60),(299x482)
32,Msedge,index.php,id_link_flickr,true,null,(60x17),(365x528)
33,Msedge,index.php,id_img_flickr,true,null,(60x60),(365x482)
34,Msedge,index.php,id_link_youtube,true,null,(60x17),(430x528)
35,Msedge,index.php,id_img_youtube,true,null,(60x60),(430x482)
36,Msedge,index.php,id_reset_button,true,null,(104x37),(671x497)
37,Msedge,index.php,id_submit_button,true,null,(118x37),(926x497)
38,Msedge,index.php,timestamp,true,June 10, 2020,(290x24),(215x555)
39,Msedge,index.php,copyright,true,© 2020 alex.academy,(250x24),(505x555)
40,Msedge,index.php,os_browser,true,macOS Catalina 10.15 & Chrome 81,(310x24),(755x555)
41,Msedge,confirmation.php,id_f_title,true,Confirmation,(249x44),(240x77)
42,Msedge,confirmation.php,id_f_label_fn,true,First Name,(104x24),(241x157)
43,Msedge,confirmation.php,id_fname,true,Alena,(77x42),(241x182)
44,Msedge,confirmation.php,id_f_label_ln,true,Last Name,(103x24),(666x157)
45,Msedge,confirmation.php,id_lname,true,Nicolaeva,(124x42),(666x182)
46,Msedge,confirmation.php,id_f_label_ea,true,Email Address,(136x24),(241x241)
47,Msedge,confirmation.php,id_email,true,nicolaevaa113@gmail.com,(321x42),(241x266)
48,Msedge,confirmation.php,id_f_label_pn,true,Phone Number,(143x24),(666x241)
49,Msedge,confirmation.php,id_phone,true,4157679838,(155x42),(666x266)
50,Msedge,confirmation.php,id_rb_label_g,true,Gender,(71x24),(241x325)
51,Msedge,confirmation.php,id_gender,true,null,(10x42),(241x350)
52,Msedge,confirmation.php,id_f_label_s,true,State,(50x24),(666x325)
53,Msedge,confirmation.php,id_state,true,null,(10x42),(666x350)
54,Msedge,confirmation.php,id_cb_label_t,true,Terms?,(70x24),(241x409)
55,Msedge,confirmation.php,id_terms,true,null,(10x42),(241x434)
56,Msedge,confirmation.php,id_back_button,true,null,(120x37),(666x500)
57,Msedge,confirmation.php,copyright,true,© 2020 alex.academy,(230x24),(525x558)
