#,Browser,Page,Field,isPresent,Value, Size, Location
1,Firefox,index.php,id_quotes,true,Believe you can and you're halfway there,(1264x20),(8x48)
2,Firefox,index.php,id_f_title,true,Sign Up,(151x45),(240x86)
3,Firefox,index.php,id_current_location,true,San Francisco, CA,(177x24),(836x70)
4,Firefox,index.php,id_weather_icon,true,null,(50x50),(863x95)
5,Firefox,index.php,id_temperature,true,57 ℉,(72x38),(941x102)
6,Firefox,index.php,id_f_label_fn,true,First Name,(104x24),(240x155)
7,Firefox,index.php,id_fname,true,null,(343x38),(240x182)
8,Firefox,index.php,fname_error,true,null,null,null
9,Firefox,index.php,id_f_label_ln,true,Last Name,(103x24),(665x155)
10,Firefox,index.php,id_lname,true,null,(343x38),(665x182)
11,Firefox,index.php,lname_error,true,null,null,null
12,Firefox,index.php,id_f_label_ea,true,Email Address,(137x24),(240x235)
13,Firefox,index.php,id_email,true,null,(343x38),(240x262)
14,Firefox,index.php,email_error,true,null,null,null
15,Firefox,index.php,id_f_label_pn,true,Phone Number,(143x24),(665x235)
16,Firefox,index.php,id_phone,true,null,(343x38),(665x262)
17,Firefox,index.php,phone_error,true,null,null,null
18,Firefox,index.php,id_rb_label_g,true,Gender,(71x24),(242x311)
19,Firefox,index.php,id_gender_male,true,null,(19x20),(251x357)
20,Firefox,index.php,id_rb_label_m,true,Male,(43x20),(284x357)
21,Firefox,index.php,id_gender_female,true,null,(19x20),(431x357)
22,Firefox,index.php,id_rb_label_f,true,Female,(65x20),(464x357)
23,Firefox,index.php,id_f_label_s,true,State,(49x24),(665x315)
24,Firefox,index.php,id_state,true,null,(344x40),(665x343)
25,Firefox,index.php,id_terms,true,null,(19x20),(240x424)
26,Firefox,index.php,id_cb_label_t,true,I agree to the Terms,(231x30),(270x417)
27,Firefox,index.php,ErrorLine,true,null,null,null
28,Firefox,index.php,id_link_facebook,true,null,(60x14),(240x527)
29,Firefox,index.php,id_img_facebook,true,null,(60x60),(240x482)
30,Firefox,index.php,id_link_twitter,true,null,(60x14),(305x527)
31,Firefox,index.php,id_img_twitter,true,null,(60x60),(305x482)
32,Firefox,index.php,id_link_flickr,true,null,(60x14),(371x527)
33,Firefox,index.php,id_img_flickr,true,null,(60x60),(371x482)
34,Firefox,index.php,id_link_youtube,true,null,(60x14),(436x527)
35,Firefox,index.php,id_img_youtube,true,null,(60x60),(436x482)
36,Firefox,index.php,id_reset_button,true,null,(104x37),(666x496)
37,Firefox,index.php,id_submit_button,true,null,(117x37),(921x496)
38,Firefox,index.php,timestamp,true,June 10, 2020,(290x24),(215x555)
39,Firefox,index.php,copyright,true,© 2020 alex.academy,(250x24),(505x555)
40,Firefox,index.php,os_browser,true,macOS Catalina 10.15 & Firefox 75,(310x24),(755x555)
41,Firefox,confirmation.php,id_f_title,true,Confirmation,(248x45),(240x76)
42,Firefox,confirmation.php,id_f_label_fn,true,First Name,(104x24),(241x157)
43,Firefox,confirmation.php,id_fname,true,Alena,(76x38),(241x183)
44,Firefox,confirmation.php,id_f_label_ln,true,Last Name,(103x24),(666x157)
45,Firefox,confirmation.php,id_lname,true,Nicolaeva,(124x38),(666x183)
46,Firefox,confirmation.php,id_f_label_ea,true,Email Address,(137x24),(241x241)
47,Firefox,confirmation.php,id_email,true,nicolaevaa113@gmail.com,(320x38),(241x267)
48,Firefox,confirmation.php,id_f_label_pn,true,Phone Number,(143x24),(666x241)
49,Firefox,confirmation.php,id_phone,true,4157679838,(154x38),(666x267)
50,Firefox,confirmation.php,id_rb_label_g,true,Gender,(71x24),(241x325)
51,Firefox,confirmation.php,id_gender,true,null,(10x38),(241x351)
52,Firefox,confirmation.php,id_f_label_s,true,State,(49x24),(666x325)
53,Firefox,confirmation.php,id_state,true,null,(10x38),(666x351)
54,Firefox,confirmation.php,id_cb_label_t,true,Terms?,(69x24),(241x409)
55,Firefox,confirmation.php,id_terms,true,null,(10x38),(241x435)
56,Firefox,confirmation.php,id_back_button,true,null,(108x37),(666x499)
57,Firefox,confirmation.php,copyright,true,© 2020 alex.academy,(230x24),(525x558)
